Column1,id,revelation_place,revelation_order,bismillah_pre,name_simple,name_complex,name_arabic,verses_count,chapter_number
1,1,makkah,5,FALSE,Al-Fatihah,Al-F?ti?ah,???????,7,1
2,2,madinah,87,TRUE,Al-Baqarah,Al-Baqarah,??????,286,2
3,3,madinah,89,TRUE,Ali 'Imran,?li `Imr?n,?? ?????,200,3
4,4,madinah,92,TRUE,An-Nisa,An-Nis?,??????,176,4
5,5,madinah,112,TRUE,Al-Ma'idah,Al-M?'idah,???????,120,5
6,6,makkah,55,TRUE,Al-An'am,Al-'An`?m,???????,165,6
7,7,makkah,39,TRUE,Al-A'raf,Al-'A`r?f,???????,206,7
8,8,madinah,88,TRUE,Al-Anfal,Al-'Anf?l,???????,75,8
9,9,madinah,113,FALSE,At-Tawbah,At-Tawbah,??????,129,9
10,10,makkah,51,TRUE,Yunus,Y?nus,????,109,10
11,11,makkah,52,TRUE,Hud,H?d,???,123,11
12,12,makkah,53,TRUE,Yusuf,Y?suf,????,111,12
13,13,madinah,96,TRUE,Ar-Ra'd,Ar-Ra`d,?????,43,13
14,14,makkah,72,TRUE,Ibrahim,Ibr?h?m,???????,52,14
15,15,makkah,54,TRUE,Al-Hijr,Al-?ijr,?????,99,15
16,16,makkah,70,TRUE,An-Nahl,An-Na?l,?????,128,16
17,17,makkah,50,TRUE,Al-Isra,Al-'Isr?,???????,111,17
18,18,makkah,69,TRUE,Al-Kahf,Al-Kahf,?????,110,18
19,19,makkah,44,TRUE,Maryam,Maryam,????,98,19
20,20,makkah,45,TRUE,Taha,??h?,??,135,20
21,21,makkah,73,TRUE,Al-Anbya,Al-'Anby?,????????,112,21
22,22,madinah,103,TRUE,Al-Hajj,Al-?ajj,????,78,22
23,23,makkah,74,TRUE,Al-Mu'minun,Al-Mu'min?n,????????,118,23
24,24,madinah,102,TRUE,An-Nur,An-N?r,?????,64,24
25,25,makkah,42,TRUE,Al-Furqan,Al-Furq?n,???????,77,25
26,26,makkah,47,TRUE,Ash-Shu'ara,Ash-Shu`ar?,???????,227,26
27,27,makkah,48,TRUE,An-Naml,An-Naml,?????,93,27
